timestamp,input_type,input_value,transcription,translation,tts_voice,output_audio_hash,misbehavior_detected,misbehavior_reason
2025-07-14T22:34:14.163773+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:15.777208+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:15.864793+00:00,Audio file, ,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:34:18.456876+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:21.714714+00:00,Audio file,o,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:34:23.660214+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:26.026969+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:28.751541+00:00,Audio file,y,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:34:29.181736+00:00,Audio file,?,?,Mock translation: ?,es-BO-SofiaNeural,2638652717016715373,True,
2025-07-14T23:29:37.927750+00:00,Audio file,S,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:41.362051+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:43.963233+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:43.992600+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:45.624333+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:48.166539+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:50.182272+00:00,Audio file,i,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:51.971789+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:52.006422+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:54.442288+00:00,Audio file,i,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:57.511612+00:00,Audio file,n,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:29:59.543605+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:01.270967+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:06.517740+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:08.896626+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:10.833683+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:11.345683+00:00,Audio file,:,:,Mock translation: :,es-BO-SofiaNeural,5887752490634930312,False,
2025-07-14T23:30:11.381592+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:11.893412+00:00,Audio file,',',Mock translation: ',es-BO-SofiaNeural,6135484942156721920,False,
2025-07-14T23:30:13.483166+00:00,Audio file,T,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:15.873648+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:17.435961+00:00,Audio file,i,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:18.976518+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:18.999025+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:21.280379+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:23.359735+00:00,Audio file,p,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:25.375373+00:00,Audio file,p,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:25.395511+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:27.688866+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:29.868798+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:31.471913+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:31.496085+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:33.888691+00:00,Audio file,b,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:36.253375+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:41.491828+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:44.036234+00:00,Audio file,n,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:44.058201+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:46.560188+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:48.924377+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:50.645738+00:00,Audio file,c,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:53.126294+00:00,Audio file,k,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:55.741545+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:57.367374+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:30:57.737073+00:00,Audio file,.,.,Mock translation: .,es-BO-SofiaNeural,-83457750600976191,False,
2025-07-14T23:30:58.102426+00:00,Audio file,',',Mock translation: ',es-BO-SofiaNeural,6135484942156721920,False,
2025-07-14T23:30:58.150465+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:00.998059+00:00,Audio file,H,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:03.419669+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:04.967093+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:06.509891+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:12.033411+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:12.473540+00:00,Audio file,",",",","Mock translation: ,",es-BO-SofiaNeural,2232649279216358169,False,
2025-07-14T23:31:12.546543+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:15.203460+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:18.349799+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:22.414656+00:00,Audio file,w,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:22.439177+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:25.265562+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:27.418768+00:00,Audio file,r,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:30.220798+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:30.323016+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:33.303104+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:36.445510+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:38.039890+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:38.061824+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:39.549689+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:42.775302+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:44.488964+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:46.891861+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:49.543438+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
2025-07-14T23:31:50.103412+00:00,Audio file,?,?,Mock translation: ?,es-BO-SofiaNeural,1273596674945567870,False,
